query_id,query,gold_document_id,gold_chunk_id,title,section,page_url,excerpt
q11,В какие века происходило формирование территории Русского государства?,19,0,Формирование территории Русского государства,Lead,https://ru.wikipedia.org/wiki/Формирование_территории_Русского_государства,"Формирование территории Русского государства — происходивший в XIV—XVIII веках процесс политического и военного присоединения Москвой земель Восточно-Европейской равнины, Северного Причерноморья, Поволжья, Предуралья, Якутии, Западной и Южной Сибири. В настоящей статье в хронологическом порядке представлены все территории, принадлежавшие Русскому государству, с указанием статуса каждой такой территории, этапов её обретения и дальнейшей судьбы. Зелёным цветом выделены великие княжества, Новгородская республика, Казанское и Сибирское ханства (царства) как основные этапы расширения Московского княжества и, позже, Русского государства."
q12,"Что в СССР 1980-х годов объединяло любителей авиационной техники под эгидой МАП СССР, ЦК ВЛКСМ и ДОСААФ?",22,0,Слёты любительской авиации,Lead,https://ru.wikipedia.org/wiki/Слёты_любительской_авиации,"Слёты любительской авиации (СЛА) — неформальное изобретательско-конструкторское движение, возникшее в СССР и объединившее любителей авиационной техники в 1980-е годы под эгидой Министерства авиационной промышленности (МАП) СССР, ЦК ВЛКСМ, ДОСААФ. Аббревиатура расшифровывается также как «самодеятельные летательные аппараты» и «сверхлёгкие летательные аппараты». За 10 лет на слётах СЛА было продемонстрировано и испытано несколько сот летательных аппаратов, некоторые из конструкций получили одобрение МАП, однако не были запущены в серийное производство из-за фактической ликвидации авиапрома в 1990-е годы. Испытания самодеятельных конструкций курировали лётчики-испытатели ЛИИ им. М. М. Громова. Организацию слётов поддерживали редакции журналов «Техника — молодёжи», «Авиация и космонавтика». Через 60 лет в этом месте был проведен первый конкурс СЛА."
q13,Кто начал разработку игры «Тетрис» и в каком году?,23,2,Тетрис,История,https://ru.wikipedia.org/wiki/Тетрис,"История В СССР были популярны игры домино, тримино, тетрамино и пентамино. В частности, пентамино было настолько популярно, что в «Науке и жизни» начиная с 1960-х годов был постоянный раздел, посвящённый составлению фигурок из набора пентамино, а пластмассовые наборы пентамино часто продавались в магазинах. Разработка игры была начата Алексеем Пажитновым в 1984 году, в 1985 году «Тетрис» был выпущен для компьютеров Электроника-60. Игра быстро распространилась по Москве и далее по всему миру. Несколько месяцев спустя про игру узнал импортёр программного обеспечения из Венгрии — Роберт Стейн. Стейн поехал в Москву, где встретился с Алексеем Пажитновым и договорился о лицензии на выпуск игры. По какой-то неизвестной для Стейна причине Пажитнов подарил ему «Тетрис». Роберт Стейн сразу решил, что игру можно было свободно издавать. Стейн продал права на «Тетрис» компании Mirrorsoft (и её дочерней компании Spectrum HoloByte), принадлежащей британскому медиамагнату Роберту Максвеллу. Стейн приехал договариваться о покупке прав у реальных правообладателей спустя несколько месяцев после заключения сделки. Советы отказались продавать Стейну права на «Тетрис» на его условиях. Тем временем две компании Максвелла — британская Mirrorsoft и американская Spectrum HoloByte — выпускают свой вариант «Тетриса». У игры появляются качественные по меркам того времени графика и звук, а также «русский колорит» — в фоновых заставках программы появляются Ю. А. Гагарин, М. Руст, незадолго до этого совершивший посадку своего спортивного самолёта на Красной площади, и другие подобающие случаю персонажи. На глазах рождается сенсация — первая игра из-за «железного занавеса». Вполне возможно, что о Пажитнове так бы никто и не узнал, если бы не пронырливость журналистов CBS, представивших всему миру настоящего автора популярной игры. После показа интервью с Пажитновым позиции Стейна пошатнулись, свои поездки в Москву и безуспешные попытки договориться с советскими организациями он не афишировал."
q14,Какой морской путь считается кратчайшим между Европейской частью России и Дальним Востоком?,25,0,Северный морской путь,Lead,https://ru.wikipedia.org/wiki/Северный_морской_путь,"thumb|right|400px|Маршрут транспортировки грузов с Дальнего Востока в западную Европу с использованием Северного морского пути (обозначен синим — более 14 тыс. км) и альтернативный путь, использующий Суэцкий канал (красным — более 23 тыс. км) Северный морско́й путь, Северный морско́й коридор, Севморпуть, СМП — кратчайший морской путь между Европейской частью России и Дальним Востоком. До начала XX века в западной литературе обычно именовался Северо-Восточный проход. Этот путь наряду с Северо-Западным проходом и связывает Европу и Азию морскими путями через Северный Ледовитый океан. По терминологии российского законодательства Северный морской путь определён как «исторически сложившаяся национальная единая транспортная коммуникация России в Арктике»."
q15,Какие два торговых пути были особенно важны для Великого Новгорода до монгольского нашествия?,26,0,История внешней торговли Великого Новгорода,Lead,https://ru.wikipedia.org/wiki/История_внешней_торговли_Великого_Новгорода,"thumb|300px|«Новгородский торг XVII века» Аполлинария Васнецова Великий Новгород располагался на пересечении важных торговых путей и был крупнейшим центром внутренней и внешней торговли Руси. Путь из Скандинавии в Византийскую империю и Волжский путь, соединяющий Русь с Ближним Востоком были особенно важны до монгольского нашествия. На протяжении всей своей истории Новгород имел торговые связи с жителями Балтийского побережья, скандинавские саги называли его «торговый город». В конечном итоге в балтийской торговле стали преобладать немецкие города, объединённые в Ганзейский союз, самая восточная контора которого находилась в Новгороде. Новгород вёл с Ганзой активную торговлю на фоне периодических военных столкновений. Через Новгород в западную Европу вывозились меха, мёд, воск, кожа и рыба, а ввозились серебро, сукно, вино, соль и сельдь. В торговле участвовали новгородцы разного социального положения, в том числе профессиональные купцы, помещики, крестьяне и ростовщики. Центром торговли в Новгороде был Торг, расположенный на противоположной стороне Волхова от Кремля."
q16,Какой товар доминировал в экспорте Новгорода в Западную Европу?,26,3,История внешней торговли Великого Новгорода,Товары,https://ru.wikipedia.org/wiki/История_внешней_торговли_Великого_Новгорода,"Товары thumb|right|Дань меха (миниатюра из Радзивилловской летописи). Новгород получал мех из своих владений и вывозил его в Западную Европу. Мех доминировал в экспорте Новгорода в Западную Европу, где из него шили модную одежду для элиты. Белка составляла основную часть экспорта, а остальную часть составляли более ценные соболь, норка и куница. Меха поступали из обширных земель к северу и востоку от Новгорода, где пушного зверя было так много, что по выражению Ипатьевской летописи белки падали с неба. Новгород также вывозил мед, воск, кожу и рыбу. Серебро, ткань, вино, соль и сельдь были импортированы из Западной Европы. Новгород также импортировал серебро и другие металлы, такие как медь, олово и свинец. Поскольку они были нужны для вооружения, Швеция и Ливонский орден пытались остановить эту торговлю во время конфликтов с Новгородом."
q17,Что произошло в Колпине 9 мая 1918 года после волнений на продовольственной почве?,31,0,Расстрел рабочих Ижорского завода в 1918 году,Lead,https://ru.wikipedia.org/wiki/Расстрел_рабочих_Ижорского_завода_в_1918_году,"Расстрел рабочих Ижорского завода в Колпине (к юго-востоку от Петрограда) 9 мая 1918 года — первый случай, когда большевики отреагировали на волнения на продовольственной почве расстрелом безоружных рабочих. Конфликт начался, когда 9 мая женщинам, стоявшим в очереди за хлебом, было объявлено, что все запасы распроданы, а новых поступлений в ближайшие два дня не будет. Женщины направились к пожарному депо, чтобы дать сигнал тревоги, однако встретили отпор красногвардейцев. Народ стал собираться на городской площади, красногвардейцы пытались прикладами разогнать толпу, но это привело только к обострению конфликта. Один из подростков бросился к гудку на пожарном депо и сумел дать сигнал. В ответ помощник коменданта Красной гвардии Торопилов выстрелил и ранил подростка. Красногвардейцы дали несколько залпов, и толпа бросилась врассыпную. На звуки гудка и стрельбы стали выбегать рабочие Ижорского завода, однако красногвардейцы оттеснили их обратно за проходную. Существует и другая версия начала стрельбы. По показаниям рабочего Ижорского завода М. В. Костромитина, данным им в следственной комиссии, стрельбу начал член следственной комиссии при ревтрибунале Г. Трофимов. Когда раздался гудок, его окружили женщины. Трофимов закричал: «Разойдитесь, буду стрелять!» Одна из женщин замахнулась на Трофимова сумкой и назвала его дармоедом. Последовал залп, и из толпы выкрикнули: «Ты на место хлеба даёшь пули, чего даже царское самодержавие не делало». Затем раздался второй залп. Стреляли и красноармейцы, и Трофимов. В показаниях Костромитина Торопилов не упоминается."
q18,В чём заключалась германофобия в Российской империи и в какой период она проявлялась?,62,0,Германофобия в Российской империи,Lead,https://ru.wikipedia.org/wiki/Германофобия_в_Российской_империи,"Германофобия в Российской империи — ненависть или страх перед всем немецким или австрийским, а также неприятие к немцам как к этнической группе на территории Российской империи, проявляемая её подданными в основном с 1860-х до падения монархии Романовых в 1917 году. В русском языке слово зафиксировано в 1860-х как «чрезмерный страх перед германским могуществом». В начале XX века германофобии в России способствовала агрессивная политика Германской и Австро-Венгерской империи."
q19,Где и когда было образовано Политическое совещание при Юдениче?,65,0,Политическое совещание (при Юдениче),Lead,https://ru.wikipedia.org/wiki/Политическое_совещание_(при_Юдениче),Полити́ческое совеща́ние (при Юде́ниче) — прообраз русского правительства в Северо-западном районе России. Было образовано 24 мая 1919 года в Гельсингфорсе. Существование утратило смысл в связи с образованием 11 августа 1919 г. английскими военными представителями Правительства Русской Северо-Западной области.
q20,Что такое Исколат и на какой территории он существовал?,70,0,Исколат,Lead,https://ru.wikipedia.org/wiki/Исколат,"Искола́т (Исполнительный комитет совета рабочих, солдатских и безземельных депутатов Латвии, Республика Исколата, ) — условное название латвийского советского государственного образования на занятой красными латышскими стрелками территории Видземе и Латгалии с 30 июля (12 августа) 1917 года до февраля 1918 года."
q21,По каким рекам проходил Заволоцкий путь на пути в Заволочье?,71,0,Заволоцкий путь,Lead,https://ru.wikipedia.org/wiki/Заволоцкий_путь,"Заволоцкий путь — исторический путь для перевозки товаров в Заволочье. Заволоцкий путь шёл вверх по притоку Волги реке Шексне до устья реки Славянки. Далее вверх по Славянке до волока к селу Волокославинскому на реке Порозовице. Затем путь шёл Порозовицей к Кубенскому озеру из которого вытекает Сухона. Этот маршрут вёл на Северную Двину, другой маршрут вёл в бассейн реки Онеги. Он шёл верх по Шексне, вероятно, до устья реки Пидьмы. Затем вверх по Пидьме до десятивёрстного волока к реке Ухтомке, по озеру Воже (Чаронде), реке Свиди и озеру Лаче из которого вытекает река Онега."
q22,"Какие документы древней Руси и Российского государства содержали ежегодное распределение даней, собиравшихся с церквей?",76,0,Окладные церковные книги,Lead,https://ru.wikipedia.org/wiki/Окладные_церковные_книги,"Окладные церковные книги — документы древней Руси и Российского государства (вплоть до конца XIX в.), содержавшие ежегодное распределение разных даней, собиравшихся с церквей на потребности местной иерархии и целого государства. Наряду с метрическими книгами являются одним из источников в генеалогических исследованиях. В них записывались сведения о рождении ребёнка и о смерти его."
q23,В каком году были впервые введены клировые ведомости?,78,1,Клировая ведомость,История,https://ru.wikipedia.org/wiki/Клировая_ведомость,"История Впервые они были введены в 1769 г. под названием «именных списков всем лицам духовного звания православного исповедания». Форма клировых ведомостей была установлена в 1829 г., а в 1876 г. была дополнена графой о собственных имущественных владениях духовного лица, а также его родителей и жены."
q24,Из каких трёх частей состояли клировые ведомости?,78,2,Клировая ведомость,Содержание,https://ru.wikipedia.org/wiki/Клировая_ведомость,"Содержание Клировые ведомости состояли из трех частей: В первую часть вносили сведения о здании церкви, о церковном имуществе и доходах, о наличии школы и богадельни. Во вторую часть включались послужные списки причта. Она содержала: фамилию, имя, отчество, дату рождения (возраст указывался на основании метрических свидетельств), семейное положение, степень родства, сословие, образование, место службы, должность, награды, владение землей и недвижимостью, нахождение под судом. Кроме того, в них были внесены все дети членов причта, если даже они проживали отдельно от семьи. В третьей части давались статистические данные по приходу. Обычно велось два экземпляра клировых ведомостей, один из которых оставался в приходе, а второй подавался в консисторию."
q25,Кем и где был организован Русский политический комитет в Польше?,82,0,Русский политический комитет,Lead,https://ru.wikipedia.org/wiki/Русский_политический_комитет,"Русский политический комитет в Польше (РПК) — антибольшевистская политическая организация, существовавшая в 1920—1921 гг. Была организована в Варшаве Б. В. Савинковым во время советско-польской войны. От имени РПК формировались русские войска для участие в войне на польской стороне."
q26,Когда была осуществлена Спасская операция и против кого?,86,0,Спасская операция,Lead,https://ru.wikipedia.org/wiki/Спасская_операция,"thumb|305px|Город Спасск-Дальний, памятник красноармейцам Спасская операция или Штурм Спасска — операция Народно-революционной армии Дальневосточной республики и партизанских соединений против белых войск «Земской рати» в районе Спасска в период завершения Гражданской войны в России, осуществлённая 8—9 октября 1922 года. Составная часть Приморской операции. За время Гражданской войны Спасская операция была уже третьим ожесточенным штурмом города. Ранее Спасск штурмовали в 1918 и 1920 годах. 7 октября 1922 года части ударной группы 2-й Приамурской дивизии НРА вышли на подступы к спасскому укрепрайону, обороняемому Поволжской группой генерал-майора В. М. Молчанова. Укрепрайон, в 1921 году сооружённый солдатами 8-й японской пехотной дивизии, представлял собой 7 фортов полевого типа, которые соединялись окопами и были обнесены 3—5 рядами колючей проволоки."
q27,С какой целью был взят Якутск в 1918 году?,88,0,Взятие Якутска (1918),Lead,https://ru.wikipedia.org/wiki/Взятие_Якутска_(1918),"Взятие Якутска — захват отрядом Красной Армии административного центра Якутской области города Якутска, с целью освобождения заключённых делегатов Совета рабочих депутатов и установления там советской власти."
q28,Кто возглавлял академические экспедиции 1768—1774 годов и кто руководил отдельными отрядами?,89,1,Академические экспедиции (1768—1774),История,https://ru.wikipedia.org/wiki/Академические_экспедиции_(1768—1774),"История Возглавлял экспедиции академик П. Паллас, отдельные отряды возглавляли И. Лепёхин, И. Георги, И. Гюльденштедт, И. Фальк и С. Гмелин. Экспедиции проводили первое комплексное описание малоизученных регионов, они изучали природные ресурсы регионов, города и население, исторические памятники, рудники и заводы."
